[2024-05-26T16:08:42.211176893Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:5069
[2024-05-26T16:08:42.231517130Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5976, 10.10.2.1:5565) is now validated
[2024-05-26T16:08:42.231690966Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5461, 10.10.1.1:6274) is now validated
[2024-05-26T16:08:42.231773951Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6884, 10.10.2.1:4579) is now validated
[2024-05-26T16:08:42.231841227Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5143, 10.10.1.1:6288) is now validated
[2024-05-26T16:09:02.225506617Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5069 <-> 10.10.1.1:4433 received in 20.014176206s
[2024-05-26T16:09:02.225530382Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5069 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 5877129472, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-26T16:09:02.232125927Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5461 <-> 10.10.1.1:6274 received in 20.020893259s
[2024-05-26T16:09:02.232151886Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5461 <-> 10.10.1.1:6274 app_conn: McMPQUICConnClient { received: 7349938963, stream_ids: {11}, recv_fin_ids: {11}, expected_streams: 1 }
[2024-05-26T16:09:02.232688292Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6884 <-> 10.10.2.1:4579 received in 20.021455384s
[2024-05-26T16:09:02.232696517Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6884 <-> 10.10.2.1:4579 app_conn: McMPQUICConnClient { received: 5563602994, stream_ids: {15}, recv_fin_ids: {15}, expected_streams: 1 }
[2024-05-26T16:09:02.232711866Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5976 <-> 10.10.2.1:5565 received in 20.021537417s
[2024-05-26T16:09:02.232720883Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5976 <-> 10.10.2.1:5565 app_conn: McMPQUICConnClient { received: 8410556884, stream_ids: {7}, recv_fin_ids: {7}, expected_streams: 1 }
[2024-05-26T16:09:02.232836009Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5143 <-> 10.10.1.1:6288 received in 20.021578464s
[2024-05-26T16:09:02.232850456Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5143 <-> 10.10.1.1:6288 app_conn: McMPQUICConnClient { received: 7452614912, stream_ids: {19}, recv_fin_ids: {19}, expected_streams: 1 }
[2024-05-26T16:09:02.235598047Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.2:5461, peer: 10.10.1.1:6274, status: Success }
[2024-05-26T16:09:02.245659652Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.2:6884, peer: 10.10.2.1:4579, status: Success }
[2024-05-26T16:09:02.255717801Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.2:5976, peer: 10.10.2.1:5565, status: Success }
[2024-05-26T16:09:02.265775047Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.2:5143, peer: 10.10.1.1:6288, status: Success }
[2024-05-26T16:09:02.285898728Z INFO  quiche_apps::multicore_client] connection closed, [local_addr=10.10.1.2:5069 peer_addr=10.10.1.1:4433 validation_state=Validated state=Active recv=4526588 sent=24742 lost=0 lost_spurious=0 retrans=0 rtt=119.328µs min_rtt=Some(74.249µs) rttvar=16.533µs rtt_update=11083 cwnd=13500 sent_bytes=1467740 recv_bytes=6109368738 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=42529, local_addr=10.10.2.2:5976 peer_addr=10.10.2.1:5565 validation_state=Validated state=Active recv=6478757 sent=38403 lost=0 lost_spurious=0 retrans=0 rtt=110.727µs min_rtt=Some(74.88µs) rttvar=3.561µs rtt_update=15946 cwnd=13500 sent_bytes=2263122 recv_bytes=8744416448 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=61020, local_addr=10.10.1.2:5461 peer_addr=10.10.1.1:6274 validation_state=Validated state=Active recv=5663298 sent=57232 lost=0 lost_spurious=0 retrans=0 rtt=83.408µs min_rtt=Some(61.295µs) rttvar=1.552µs rtt_update=27855 cwnd=13500 sent_bytes=3444243 recv_bytes=7641639869 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=113623, local_addr=10.10.2.2:6884 peer_addr=10.10.2.1:4579 validation_state=Validated state=Active recv=4286845 sent=43147 lost=0 lost_spurious=0 retrans=0 rtt=91.465µs min_rtt=Some(67.316µs) rttvar=9.183µs rtt_update=21187 cwnd=13500 sent_bytes=2590208 recv_bytes=5783579845 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=103382, local_addr=10.10.1.2:5143 peer_addr=10.10.1.1:6288 validation_state=Validated state=Active recv=5740601 sent=31043 lost=0 lost_spurious=0 retrans=0 rtt=121.733µs min_rtt=Some(97.001µs) rttvar=4.752µs rtt_update=14093 cwnd=999000 sent_bytes=1848727 recv_bytes=7748048244 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=55312]
