[2024-05-26T17:14:01.824639950Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:6933
[2024-05-26T17:14:01.844923167Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6586, 10.10.2.1:5060) is now validated
[2024-05-26T17:14:01.845188544Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6354, 10.10.1.1:5388) is now validated
[2024-05-26T17:14:01.845501380Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:4909, 10.10.2.1:4743) is now validated
[2024-05-26T17:14:01.845515968Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5192, 10.10.1.1:5991) is now validated
[2024-05-26T17:14:01.845645420Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6947, 10.10.2.1:4520) is now validated
[2024-05-26T17:14:01.845654587Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6386, 10.10.2.1:6563) is now validated
[2024-05-26T17:14:01.845654567Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6023, 10.10.1.1:6753) is now validated
[2024-05-26T17:14:01.845870001Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6344, 10.10.1.1:5728) is now validated
[2024-05-26T17:14:01.845972453Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6986, 10.10.2.1:4894) is now validated
[2024-05-26T17:14:01.846050820Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6099, 10.10.1.1:6823) is now validated
[2024-05-26T17:14:01.846330725Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6393, 10.10.2.1:6665) is now validated
[2024-05-26T17:14:01.846410344Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5421, 10.10.2.1:6602) is now validated
[2024-05-26T17:14:01.846467100Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6156, 10.10.1.1:5012) is now validated
[2024-05-26T17:14:01.846566527Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6404, 10.10.1.1:5762) is now validated
[2024-05-26T17:14:21.840353287Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6933 <-> 10.10.1.1:4433 received in 20.015465393s
[2024-05-26T17:14:21.840373706Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6933 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 2817089792, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-26T17:14:21.845823680Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6586 <-> 10.10.2.1:5060 received in 20.021267217s
