[2024-05-26T16:05:42.510376486Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:6262
[2024-05-26T16:05:42.530716471Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5383, 10.10.2.1:5319) is now validated
[2024-05-26T16:05:42.530844441Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5568, 10.10.2.1:5941) is now validated
[2024-05-26T16:05:42.531011233Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5081, 10.10.1.1:6121) is now validated
[2024-05-26T16:06:02.523714612Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6262 <-> 10.10.1.1:4433 received in 20.012952763s
[2024-05-26T16:06:02.523741352Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6262 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 5547610046, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-26T16:06:02.531231555Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5383 <-> 10.10.2.1:5319 received in 20.02085571s
[2024-05-26T16:06:02.531240361Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5383 <-> 10.10.2.1:5319 app_conn: McMPQUICConnClient { received: 8370220878, stream_ids: {7}, recv_fin_ids: {7}, expected_streams: 1 }
[2024-05-26T16:06:02.531302217Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5568 <-> 10.10.2.1:5941 received in 20.02089289s
[2024-05-26T16:06:02.531326142Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5568 <-> 10.10.2.1:5941 app_conn: McMPQUICConnClient { received: 7164698014, stream_ids: {11}, recv_fin_ids: {11}, expected_streams: 1 }
[2024-05-26T16:06:02.531385193Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5081 <-> 10.10.1.1:6121 received in 20.020976396s
[2024-05-26T16:06:02.531394400Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5081 <-> 10.10.1.1:6121 app_conn: McMPQUICConnClient { received: 7840063744, stream_ids: {15}, recv_fin_ids: {15}, expected_streams: 1 }
[2024-05-26T16:06:02.533808516Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.2:5383, peer: 10.10.2.1:5319, status: Success }
[2024-05-26T16:06:02.543870301Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.2:5568, peer: 10.10.2.1:5941, status: Success }
[2024-05-26T16:06:02.553928469Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.2:5081, peer: 10.10.1.1:6121, status: Success }
[2024-05-26T16:06:02.574055866Z INFO  quiche_apps::multicore_client] connection closed, [local_addr=10.10.1.2:6262 peer_addr=10.10.1.1:4433 validation_state=Validated state=Active recv=4274510 sent=33502 lost=0 lost_spurious=0 retrans=0 rtt=132.58µs min_rtt=Some(74.61µs) rttvar=29.919µs rtt_update=20949 cwnd=13500 sent_bytes=2096982 recv_bytes=5766938498 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=78485, local_addr=10.10.2.2:5383 peer_addr=10.10.2.1:5319 validation_state=Validated state=Active recv=6449378 sent=47296 lost=0 lost_spurious=0 retrans=0 rtt=113.737µs min_rtt=Some(63.799µs) rttvar=14.836µs rtt_update=20296 cwnd=13500 sent_bytes=2786909 recv_bytes=8702632388 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=59159, local_addr=10.10.1.2:5081 peer_addr=10.10.1.1:6121 validation_state=Validated state=Active recv=6039159 sent=25516 lost=0 lost_spurious=0 retrans=0 rtt=115.927µs min_rtt=Some(75.451µs) rttvar=3.075µs rtt_update=14835 cwnd=1051650 sent_bytes=1582335 recv_bytes=8151034781 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=53356, local_addr=10.10.2.2:5568 peer_addr=10.10.2.1:5941 validation_state=Validated state=Active recv=5520582 sent=57613 lost=0 lost_spurious=0 retrans=0 rtt=93.255µs min_rtt=Some(68.689µs) rttvar=4.333µs rtt_update=27096 cwnd=13500 sent_bytes=3449580 recv_bytes=7448961698 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=98295]
