[2024-05-23T11:22:56.388368287Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:4946
[2024-05-23T11:22:56.409041952Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6232, 10.10.2.1:4466) is now validated
[2024-05-23T11:22:56.409283344Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5514, 10.10.1.1:6836) is now validated
[2024-05-23T11:22:56.409397509Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6801, 10.10.2.1:6362) is now validated
[2024-05-23T11:22:56.409403640Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6036, 10.10.2.1:5501) is now validated
[2024-05-23T11:22:56.409421804Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:4556, 10.10.1.1:6994) is now validated
[2024-05-23T11:22:56.409483901Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6051, 10.10.1.1:4627) is now validated
[2024-05-23T11:22:56.409598175Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6438, 10.10.1.1:4955) is now validated
[2024-05-23T11:22:56.409674258Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:4581, 10.10.2.1:6452) is now validated
[2024-05-23T11:22:56.409909179Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:4676, 10.10.2.1:6752) is now validated
[2024-05-23T11:23:16.401685665Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4946 <-> 10.10.1.1:4433 received in 20.012869948s
[2024-05-23T11:23:16.401779531Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4946 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 4751310596, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-23T11:23:16.409941753Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4556 <-> 10.10.1.1:6994 received in 20.021438924s
[2024-05-23T11:23:16.409968604Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4556 <-> 10.10.1.1:6994 app_conn: McMPQUICConnClient { received: 5147389814, stream_ids: {23}, recv_fin_ids: {23}, expected_streams: 1 }
[2024-05-23T11:23:16.410034157Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5514 <-> 10.10.1.1:6836 received in 20.021372038s
[2024-05-23T11:23:16.410058522Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5514 <-> 10.10.1.1:6836 app_conn: McMPQUICConnClient { received: 4586012786, stream_ids: {11}, recv_fin_ids: {11}, expected_streams: 1 }
[2024-05-23T11:23:16.410219073Z INFO  quiche_apps::multicore_client] path 10.10.2.2:4581 <-> 10.10.2.1:6452 received in 20.021366789s
[2024-05-23T11:23:16.410226688Z INFO  quiche_apps::multicore_client] path 10.10.2.2:4581 <-> 10.10.2.1:6452 app_conn: McMPQUICConnClient { received: 5217957759, stream_ids: {35}, recv_fin_ids: {35}, expected_streams: 1 }
[2024-05-23T11:23:16.410289776Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6036 <-> 10.10.2.1:5501 received in 20.021501501s
[2024-05-23T11:23:16.410317889Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6036 <-> 10.10.2.1:5501 app_conn: McMPQUICConnClient { received: 4685439494, stream_ids: {15}, recv_fin_ids: {15}, expected_streams: 1 }
