[2024-05-26T17:00:21.239341885Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:5442
[2024-05-26T17:00:21.259848887Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5609, 10.10.2.1:5063) is now validated
[2024-05-26T17:00:21.260090099Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5181, 10.10.2.1:4845) is now validated
[2024-05-26T17:00:21.260090119Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6695, 10.10.1.1:4542) is now validated
[2024-05-26T17:00:21.260181720Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5183, 10.10.1.1:4635) is now validated
[2024-05-26T17:00:21.260497783Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5319, 10.10.2.1:5078) is now validated
[2024-05-26T17:00:21.260642674Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6068, 10.10.2.1:5503) is now validated
[2024-05-26T17:00:21.260706404Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:4892, 10.10.1.1:5497) is now validated
[2024-05-26T17:00:21.260717545Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6450, 10.10.2.1:4753) is now validated
[2024-05-26T17:00:21.260781454Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6677, 10.10.1.1:6130) is now validated
[2024-05-26T17:00:21.260884377Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6554, 10.10.2.1:4979) is now validated
[2024-05-26T17:00:21.260952254Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6046, 10.10.1.1:5442) is now validated
[2024-05-26T17:00:21.261025512Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5536, 10.10.1.1:5933) is now validated
[2024-05-26T17:00:41.253091482Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5442 <-> 10.10.1.1:4433 received in 20.013490471s
[2024-05-26T17:00:41.253119635Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5442 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 3972391168, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-26T17:00:41.260396553Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5609 <-> 10.10.2.1:5063 received in 20.02091705s
[2024-05-26T17:00:41.260406401Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5609 <-> 10.10.2.1:5063 app_conn: McMPQUICConnClient { received: 3283074122, stream_ids: {7}, recv_fin_ids: {7}, expected_streams: 1 }
[2024-05-26T17:00:41.260497382Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5181 <-> 10.10.2.1:4845 received in 20.021001578s
[2024-05-26T17:00:41.260522839Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5181 <-> 10.10.2.1:4845 app_conn: McMPQUICConnClient { received: 3840941764, stream_ids: {15}, recv_fin_ids: {15}, expected_streams: 1 }
[2024-05-26T17:00:41.261074814Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6068 <-> 10.10.2.1:5503 received in 20.02131198s
[2024-05-26T17:00:41.261100702Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6068 <-> 10.10.2.1:5503 app_conn: McMPQUICConnClient { received: 3226929524, stream_ids: {23}, recv_fin_ids: {23}, expected_streams: 1 }
[2024-05-26T17:00:41.261190460Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6677 <-> 10.10.1.1:6130 received in 20.021331907s
[2024-05-26T17:00:41.261215618Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6677 <-> 10.10.1.1:6130 app_conn: McMPQUICConnClient { received: 3213660848, stream_ids: {35}, recv_fin_ids: {35}, expected_streams: 1 }
[2024-05-26T17:00:41.260962884Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6695 <-> 10.10.1.1:4542 received in 20.021549134s
[2024-05-26T17:00:41.261243981Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6695 <-> 10.10.1.1:4542 app_conn: McMPQUICConnClient { received: 3061340860, stream_ids: {11}, recv_fin_ids: {11}, expected_streams: 1 }
[2024-05-26T17:00:41.261264209Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5319 <-> 10.10.2.1:5078 received in 20.021544045s
[2024-05-26T17:00:41.261291119Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5319 <-> 10.10.2.1:5078 app_conn: McMPQUICConnClient { received: 3720574056, stream_ids: {31}, recv_fin_ids: {31}, expected_streams: 1 }
[2024-05-26T17:00:41.261366621Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6046 <-> 10.10.1.1:5442 received in 20.021576356s
[2024-05-26T17:00:41.261427014Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6046 <-> 10.10.1.1:5442 app_conn: McMPQUICConnClient { received: 3727988674, stream_ids: {47}, recv_fin_ids: {47}, expected_streams: 1 }
[2024-05-26T17:00:41.261643800Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6554 <-> 10.10.2.1:4979 received in 20.021767123s
[2024-05-26T17:00:41.261654440Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6554 <-> 10.10.2.1:4979 app_conn: McMPQUICConnClient { received: 2701528742, stream_ids: {43}, recv_fin_ids: {43}, expected_streams: 1 }
[2024-05-26T17:00:41.261707620Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5536 <-> 10.10.1.1:5933 received in 20.021815844s
[2024-05-26T17:00:41.261733859Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5536 <-> 10.10.1.1:5933 app_conn: McMPQUICConnClient { received: 3486787736, stream_ids: {51}, recv_fin_ids: {51}, expected_streams: 1 }
[2024-05-26T17:00:41.261748035Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6450 <-> 10.10.2.1:4753 received in 20.022058569s
