[2024-05-26T16:53:55.631966599Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:5708
[2024-05-26T16:53:55.652225524Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6623, 10.10.2.1:6759) is now validated
[2024-05-26T16:53:55.652648216Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6052, 10.10.1.1:5714) is now validated
[2024-05-26T16:53:55.652806132Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6244, 10.10.2.1:4909) is now validated
[2024-05-26T16:53:55.652820489Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5351, 10.10.1.1:4567) is now validated
[2024-05-26T16:53:55.652981981Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:4515, 10.10.1.1:6093) is now validated
[2024-05-26T16:53:55.653031734Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:4995, 10.10.2.1:5538) is now validated
[2024-05-26T16:53:55.653274219Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5940, 10.10.2.1:5787) is now validated
[2024-05-26T16:53:55.653484192Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6645, 10.10.1.1:6593) is now validated
[2024-05-26T16:53:55.653526832Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5491, 10.10.2.1:5487) is now validated
[2024-05-26T16:53:55.653628152Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6305, 10.10.1.1:4558) is now validated
[2024-05-26T16:53:55.653628132Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5973, 10.10.2.1:6868) is now validated
[2024-05-26T16:54:15.646498454Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5708 <-> 10.10.1.1:4433 received in 20.01423565s
[2024-05-26T16:54:15.646526095Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5708 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 3307484274, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-26T16:54:15.652802447Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6623 <-> 10.10.2.1:6759 received in 20.020912672s
[2024-05-26T16:54:15.652811785Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6623 <-> 10.10.2.1:6759 app_conn: McMPQUICConnClient { received: 4787725866, stream_ids: {7}, recv_fin_ids: {7}, expected_streams: 1 }
[2024-05-26T16:54:15.653780229Z INFO  quiche_apps::multicore_client] path 10.10.2.2:4995 <-> 10.10.2.1:5538 received in 20.021483442s
[2024-05-26T16:54:15.653804775Z INFO  quiche_apps::multicore_client] path 10.10.2.2:4995 <-> 10.10.2.1:5538 app_conn: McMPQUICConnClient { received: 4524345588, stream_ids: {27}, recv_fin_ids: {27}, expected_streams: 1 }
[2024-05-26T16:54:15.653830854Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5351 <-> 10.10.1.1:4567 received in 20.021750111s
[2024-05-26T16:54:15.653855040Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5351 <-> 10.10.1.1:4567 app_conn: McMPQUICConnClient { received: 3791306828, stream_ids: {15}, recv_fin_ids: {15}, expected_streams: 1 }
[2024-05-26T16:54:15.653942393Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5940 <-> 10.10.2.1:5787 received in 20.021660914s
[2024-05-26T16:54:15.653951440Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5940 <-> 10.10.2.1:5787 app_conn: McMPQUICConnClient { received: 4095729920, stream_ids: {31}, recv_fin_ids: {31}, expected_streams: 1 }
[2024-05-26T16:54:15.654092314Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5491 <-> 10.10.2.1:5487 received in 20.021708974s
[2024-05-26T16:54:15.654117772Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5491 <-> 10.10.2.1:5487 app_conn: McMPQUICConnClient { received: 3023102179, stream_ids: {39}, recv_fin_ids: {39}, expected_streams: 1 }
[2024-05-26T16:54:15.654142438Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6052 <-> 10.10.1.1:5714 received in 20.02219799s
[2024-05-26T16:54:15.654166754Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6052 <-> 10.10.1.1:5714 app_conn: McMPQUICConnClient { received: 4691203348, stream_ids: {11}, recv_fin_ids: {11}, expected_streams: 1 }
