[2024-05-26T16:50:43.628419832Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:5523
[2024-05-26T16:50:43.648992415Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6983, 10.10.1.1:4486) is now validated
[2024-05-26T16:50:43.649183784Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6094, 10.10.2.1:4499) is now validated
[2024-05-26T16:50:43.649306213Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5557, 10.10.1.1:6139) is now validated
[2024-05-26T16:50:43.649363010Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5831, 10.10.2.1:5815) is now validated
[2024-05-26T16:50:43.649523300Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:4476, 10.10.2.1:6776) is now validated
[2024-05-26T16:50:43.649595465Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:4679, 10.10.1.1:4832) is now validated
[2024-05-26T16:50:43.649664264Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6949, 10.10.1.1:5598) is now validated
[2024-05-26T16:50:43.649724066Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5241, 10.10.2.1:4974) is now validated
[2024-05-26T16:50:43.649806230Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6982, 10.10.1.1:6752) is now validated
[2024-05-26T16:50:43.649858208Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6342, 10.10.2.1:4990) is now validated
[2024-05-26T16:50:43.650089661Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6348, 10.10.2.1:5380) is now validated
[2024-05-26T16:51:03.642608844Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5523 <-> 10.10.1.1:4433 received in 20.013951037s
[2024-05-26T16:51:03.642636646Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5523 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 4269662464, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-26T16:51:03.649997620Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4679 <-> 10.10.1.1:4832 received in 20.021176476s
[2024-05-26T16:51:03.650024460Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4679 <-> 10.10.1.1:4832 app_conn: McMPQUICConnClient { received: 4111148892, stream_ids: {31}, recv_fin_ids: {31}, expected_streams: 1 }
[2024-05-26T16:51:03.650079754Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6983 <-> 10.10.1.1:4486 received in 20.021531531s
[2024-05-26T16:51:03.650105161Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6983 <-> 10.10.1.1:4486 app_conn: McMPQUICConnClient { received: 3972060944, stream_ids: {7}, recv_fin_ids: {7}, expected_streams: 1 }
[2024-05-26T16:51:03.650443115Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6094 <-> 10.10.2.1:4499 received in 20.021846762s
[2024-05-26T16:51:03.650453765Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6094 <-> 10.10.2.1:4499 app_conn: McMPQUICConnClient { received: 4122889246, stream_ids: {11}, recv_fin_ids: {11}, expected_streams: 1 }
