[2024-05-23T13:19:54.538801744Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:6964
[2024-05-23T13:19:54.559360715Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6971, 10.10.1.1:5904) is now validated
[2024-05-23T13:19:54.559633727Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5672, 10.10.1.1:4676) is now validated
[2024-05-23T13:19:54.559652833Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5375, 10.10.2.1:5250) is now validated
[2024-05-23T13:19:54.559763490Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6866, 10.10.1.1:5689) is now validated
[2024-05-23T13:19:54.559950722Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5959, 10.10.2.1:5789) is now validated
[2024-05-23T13:19:54.560089011Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6050, 10.10.2.1:6912) is now validated
[2024-05-23T13:19:54.560100282Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6783, 10.10.2.1:5615) is now validated
[2024-05-23T13:19:54.560192415Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:4988, 10.10.1.1:6005) is now validated
[2024-05-23T13:19:54.560201232Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6777, 10.10.1.1:4758) is now validated
[2024-05-23T13:19:54.560294527Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5027, 10.10.1.1:5896) is now validated
[2024-05-23T13:19:54.560300057Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5397, 10.10.2.1:5095) is now validated
[2024-05-23T13:19:54.560402960Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:4588, 10.10.2.1:4533) is now validated
[2024-05-23T13:19:54.560408300Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5113, 10.10.2.1:5262) is now validated
[2024-05-23T13:19:54.560585082Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6452, 10.10.1.1:5312) is now validated
[2024-05-23T13:19:54.560935720Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6295, 10.10.2.1:5259) is now validated
[2024-05-23T13:20:14.552277701Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6964 <-> 10.10.1.1:4433 received in 20.013228182s
[2024-05-23T13:20:14.552297658Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6964 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 2032199910, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-23T13:20:14.560327092Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6971 <-> 10.10.1.1:5904 received in 20.02148343s
[2024-05-23T13:20:14.560350386Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6971 <-> 10.10.1.1:5904 app_conn: McMPQUICConnClient { received: 2484431800, stream_ids: {7}, recv_fin_ids: {7}, expected_streams: 1 }
[2024-05-23T13:20:14.561264631Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5113 <-> 10.10.2.1:5262 received in 20.021891425s
[2024-05-23T13:20:14.561294397Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6295 <-> 10.10.2.1:5259 received in 20.021844346s
[2024-05-23T13:20:14.561369518Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6295 <-> 10.10.2.1:5259 app_conn: McMPQUICConnClient { received: 2237816952, stream_ids: {63}, recv_fin_ids: {63}, expected_streams: 1 }
[2024-05-23T13:20:14.561365621Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5027 <-> 10.10.1.1:5896 received in 20.021930078s
[2024-05-23T13:20:14.561358517Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5113 <-> 10.10.2.1:5262 app_conn: McMPQUICConnClient { received: 2312935438, stream_ids: {51}, recv_fin_ids: {51}, expected_streams: 1 }
[2024-05-23T13:20:14.561392080Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5027 <-> 10.10.1.1:5896 app_conn: McMPQUICConnClient { received: 2245250388, stream_ids: {47}, recv_fin_ids: {47}, expected_streams: 1 }
[2024-05-23T13:20:14.561481448Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6777 <-> 10.10.1.1:4758 received in 20.022333104s
