[2024-05-23T11:17:20.544724796Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:4865
[2024-05-23T11:17:20.565438419Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:4910, 10.10.1.1:4740) is now validated
[2024-05-23T11:17:20.565603499Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6814, 10.10.2.1:4790) is now validated
[2024-05-23T11:17:20.565720168Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:4979, 10.10.1.1:5980) is now validated
[2024-05-23T11:17:20.565791391Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6281, 10.10.1.1:5053) is now validated
[2024-05-23T11:17:20.565860982Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:4874, 10.10.2.1:5213) is now validated
[2024-05-23T11:17:20.565931514Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6655, 10.10.2.1:6257) is now validated
[2024-05-23T11:17:20.566012737Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6788, 10.10.2.1:5198) is now validated
[2024-05-23T11:17:20.566089841Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:4477, 10.10.1.1:6220) is now validated
[2024-05-23T11:17:40.557609905Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4865 <-> 10.10.1.1:4433 received in 20.012662211s
[2024-05-23T11:17:40.557665890Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4865 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 4735432718, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-23T11:17:40.566112057Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6814 <-> 10.10.2.1:4790 received in 20.021242649s
[2024-05-23T11:17:40.566127225Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6814 <-> 10.10.2.1:4790 app_conn: McMPQUICConnClient { received: 5245472422, stream_ids: {7}, recv_fin_ids: {7}, expected_streams: 1 }
[2024-05-23T11:17:40.566288378Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4979 <-> 10.10.1.1:5980 received in 20.021438457s
[2024-05-23T11:17:40.566310720Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4979 <-> 10.10.1.1:5980 app_conn: McMPQUICConnClient { received: 5140518264, stream_ids: {19}, recv_fin_ids: {19}, expected_streams: 1 }
[2024-05-23T11:17:40.566435524Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6281 <-> 10.10.1.1:5053 received in 20.021593879s
[2024-05-23T11:17:40.566461092Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6281 <-> 10.10.1.1:5053 app_conn: McMPQUICConnClient { received: 5369256880, stream_ids: {15}, recv_fin_ids: {15}, expected_streams: 1 }
[2024-05-23T11:17:40.566472734Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4910 <-> 10.10.1.1:4740 received in 20.02168519s
[2024-05-23T11:17:40.566498442Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4910 <-> 10.10.1.1:4740 app_conn: McMPQUICConnClient { received: 5820997888, stream_ids: {11}, recv_fin_ids: {11}, expected_streams: 1 }
