[2024-05-26T16:26:54.642937264Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:5017
[2024-05-26T16:26:54.663459507Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6626, 10.10.2.1:6181) is now validated
[2024-05-26T16:26:54.663765971Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:4669, 10.10.1.1:6910) is now validated
[2024-05-26T16:26:54.663816316Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5929, 10.10.2.1:6509) is now validated
[2024-05-26T16:26:54.663893230Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:6350, 10.10.1.1:6746) is now validated
[2024-05-26T16:26:54.664067206Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5998, 10.10.1.1:5161) is now validated
[2024-05-26T16:26:54.663959825Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6359, 10.10.2.1:5763) is now validated
[2024-05-26T16:26:54.664011632Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6457, 10.10.2.1:5228) is now validated
[2024-05-26T16:27:14.659467008Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5017 <-> 10.10.1.1:4433 received in 20.016339046s
[2024-05-26T16:27:14.659498256Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5017 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 7713953821, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-26T16:27:14.664560519Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6626 <-> 10.10.2.1:6181 received in 20.0215561s
[2024-05-26T16:27:14.664570919Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6626 <-> 10.10.2.1:6181 app_conn: McMPQUICConnClient { received: 5064935406, stream_ids: {7}, recv_fin_ids: {7}, expected_streams: 1 }
[2024-05-26T16:27:14.664624730Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4669 <-> 10.10.1.1:6910 received in 20.021572059s
[2024-05-26T16:27:14.664650147Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4669 <-> 10.10.1.1:6910 app_conn: McMPQUICConnClient { received: 6538707058, stream_ids: {11}, recv_fin_ids: {11}, expected_streams: 1 }
[2024-05-26T16:27:14.664730217Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5929 <-> 10.10.2.1:6509 received in 20.021653222s
[2024-05-26T16:27:14.664739685Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5929 <-> 10.10.2.1:6509 app_conn: McMPQUICConnClient { received: 6432005448, stream_ids: {15}, recv_fin_ids: {15}, expected_streams: 1 }
[2024-05-26T16:27:14.664955720Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6350 <-> 10.10.1.1:6746 received in 20.021906617s
[2024-05-26T16:27:14.664980407Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6350 <-> 10.10.1.1:6746 app_conn: McMPQUICConnClient { received: 6776079376, stream_ids: {31}, recv_fin_ids: {31}, expected_streams: 1 }
[2024-05-26T16:27:14.666229950Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6359 <-> 10.10.2.1:5763 received in 20.023089465s
[2024-05-26T16:27:14.666260397Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6359 <-> 10.10.2.1:5763 app_conn: McMPQUICConnClient { received: 835969280, stream_ids: {27}, recv_fin_ids: {27}, expected_streams: 1 }
[2024-05-26T16:27:14.668236422Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5998 <-> 10.10.1.1:5161 received in 20.025084897s
[2024-05-26T16:27:14.668245990Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5998 <-> 10.10.1.1:5161 app_conn: McMPQUICConnClient { received: 8126411828, stream_ids: {23}, recv_fin_ids: {23}, expected_streams: 1 }
[2024-05-26T16:27:14.669560345Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6457 <-> 10.10.2.1:5228 received in 20.026481435s
[2024-05-26T16:27:14.669566927Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.2:6626, peer: 10.10.2.1:6181, status: Success }
[2024-05-26T16:27:14.669569913Z INFO  quiche_apps::multicore_client] path 10.10.2.2:6457 <-> 10.10.2.1:5228 app_conn: McMPQUICConnClient { received: 7740247112, stream_ids: {19}, recv_fin_ids: {19}, expected_streams: 1 }
[2024-05-26T16:27:14.679629276Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.2:4669, peer: 10.10.1.1:6910, status: Success }
[2024-05-26T16:27:14.689718075Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.2:5929, peer: 10.10.2.1:6509, status: Success }
[2024-05-26T16:27:14.699776246Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.2:6350, peer: 10.10.1.1:6746, status: Success }
[2024-05-26T16:27:14.709833285Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.2:6359, peer: 10.10.2.1:5763, status: Success }
[2024-05-26T16:27:14.719890615Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.1.2:5998, peer: 10.10.1.1:5161, status: Success }
[2024-05-26T16:27:14.729948485Z INFO  quiche_apps::common] received message MulticorePathDoneInfo { local: 10.10.2.2:6457, peer: 10.10.2.1:5228, status: Success }
