[2024-05-26T16:25:03.924493546Z INFO  quiche_apps::multicore_client] connecting to 10.10.1.1:4433 from 10.10.1.2:6573
[2024-05-26T16:25:03.944983018Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6683, 10.10.2.1:6041) is now validated
[2024-05-26T16:25:03.945033412Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5080, 10.10.1.1:4736) is now validated
[2024-05-26T16:25:03.945141996Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:4545, 10.10.1.1:4725) is now validated
[2024-05-26T16:25:03.945193553Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:6311, 10.10.2.1:5057) is now validated
[2024-05-26T16:25:03.945261770Z INFO  quiche_apps::multicore_client] Path (10.10.2.2:5813, 10.10.2.1:6377) is now validated
[2024-05-26T16:25:03.945341109Z INFO  quiche_apps::multicore_client] Path (10.10.1.2:5518, 10.10.1.1:4632) is now validated
[2024-05-26T16:25:23.937750202Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6573 <-> 10.10.1.1:4433 received in 20.013062772s
[2024-05-26T16:25:23.937777844Z INFO  quiche_apps::multicore_client] path 10.10.1.2:6573 <-> 10.10.1.1:4433 app_conn: McMPQUICConnClient { received: 7312166948, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1 }
[2024-05-26T16:25:23.945623516Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5080 <-> 10.10.1.1:4736 received in 20.021040232s
[2024-05-26T16:25:23.945640558Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5080 <-> 10.10.1.1:4736 app_conn: McMPQUICConnClient { received: 6671297031, stream_ids: {11}, recv_fin_ids: {11}, expected_streams: 1 }
[2024-05-26T16:25:23.945834312Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5518 <-> 10.10.1.1:4632 received in 20.021174443s
[2024-05-26T16:25:23.945845372Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4545 <-> 10.10.1.1:4725 received in 20.021202095s
[2024-05-26T16:25:23.945859799Z INFO  quiche_apps::multicore_client] path 10.10.1.2:5518 <-> 10.10.1.1:4632 app_conn: McMPQUICConnClient { received: 6331902694, stream_ids: {27}, recv_fin_ids: {27}, expected_streams: 1 }
[2024-05-26T16:25:23.945876040Z INFO  quiche_apps::multicore_client] path 10.10.1.2:4545 <-> 10.10.1.1:4725 app_conn: McMPQUICConnClient { received: 6811238262, stream_ids: {19}, recv_fin_ids: {19}, expected_streams: 1 }
[2024-05-26T16:25:23.946048463Z INFO  quiche_apps::multicore_client] path 10.10.2.2:5813 <-> 10.10.2.1:6377 received in 20.021377774s
